sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
35599762457,2022-02-04T06:33:30Z,68,16,11,41,60,60,0.14271555996035679
35571031613,2022-02-03T07:02:00Z,65,16,11,38,61,59,0.20224719101123595
35571031612,2022-02-02T07:22:00Z,60,13,13,34,41,59,0.16515837104072398
35543612689,2022-02-01T07:57:30Z,68,15,15,38,67,60,0.15873015873015872
35535404788,2022-01-31T04:55:30Z,63,13,16,34,26,61,0.13123359580052493
35516170578,2022-01-30T04:44:30Z,54,14,12,28,29,59,0.0827250608272506
35501689575,2022-01-29T08:27:00Z,58,13,18,27,27,58,0.09777777777777778
35501833836,2022-01-29T02:41:30Z,64,21,12,31,59,58,0.12041884816753927
35487063752,2022-01-28T06:09:30Z,56,15,10,31,30,57,0.1991388589881593
35475039669,2022-01-27T07:51:30Z,54,12,14,28,17,57,0.1724137931034483
35475039668,2022-01-27T01:10:30Z,53,14,12,27,12,57,0.09923664122137404
35460179287,2022-01-26T07:36:00Z,58,13,15,30,24,56,0.14104372355430184
35449556082,2022-01-25T07:26:00Z,61,14,15,32,30,57,0.12998712998713
35430962959,2022-01-24T06:55:30Z,65,14,12,39,65,54,0.15667718191377497
35029407882,2021-12-24T07:11:30Z,70,18,13,39,80,52,0.16152263374485595
35018853296,2021-12-23T07:20:30Z,75,19,16,40,70,53,0.11819116135662898
35003020397,2021-12-22T02:42:00Z,55,15,13,27,46,54,0.10609037328094302
35000451772,2021-12-21T08:23:00Z,65,20,18,27,39,54,0.07013574660633484
34981600658,2021-12-20T06:32:30Z,71,16,15,40,59,54,0.13139418254764293
34970650095,2021-12-19T06:43:30Z,72,18,15,39,59,56,0.15219721329046088
34959850584,2021-12-18T07:09:00Z,76,22,13,41,90,55,0.10746268656716418
34947862188,2021-12-17T06:01:30Z,58,17,16,25,38,55,0.139186295503212
34936862780,2021-12-16T05:12:30Z,78,21,19,38,65,56,0.0851063829787234
34920790127,2021-12-15T01:42:00Z,59,18,13,28,30,56,0.07161125319693094
34908409316,2021-12-14T07:26:00Z,71,16,16,39,100,58,0.17364016736401675
34898134333,2021-12-13T06:04:30Z,63,18,12,33,63,56,0.11282843894899536
34886708814,2021-12-12T07:27:00Z,66,15,15,36,37,56,0.07653701380175659
34876397318,2021-12-11T09:05:30Z,65,15,21,29,29,58,0.08041237113402062
34874257292,2021-12-11T03:57:00Z,77,20,19,38,27,58,0.04477611940298507
34869605322,2021-12-09T16:16:30Z,56,17,13,26,45,54,0.054373522458628844
34854489690,2021-12-09T07:45:30Z,64,15,10,39,42,54,0.16027531956735497
34836996070,2021-12-08T07:44:30Z,74,19,16,39,105,56,0.16358325219084713
34821144233,2021-12-07T02:59:00Z,52,15,14,23,34,57,0.12684989429175475
34809882054,2021-12-06T07:09:00Z,64,17,14,33,64,57,0.15636822194199243
34799412596,2021-12-05T06:39:30Z,76,22,14,40,104,56,0.10264550264550265
34775023223,2021-12-03T05:30:30Z,57,16,15,26,13,55,0.1189083820662768
34762346897,2021-12-02T10:22:30Z,66,13,21,32,33,56,0.08763693270735524
34762346895,2021-12-02T03:49:00Z,61,16,15,30,44,56,0.06339468302658487
34753189395,2021-12-01T04:00:30Z,56,14,14,28,12,55,0.06718346253229975
34736611166,2021-11-30T08:21:00Z,62,15,16,31,47,56,0.18687589158345222
34723638171,2021-11-29T09:03:30Z,65,14,8,43,50,54,0.2465627864344638
34708993815,2021-11-28T09:06:30Z,64,17,12,35,59,52,0.1056241426611797
34697907360,2021-11-27T08:26:00Z,68,22,11,35,93,52,0.22672064777327935
34684668405,2021-11-26T05:40:00Z,57,17,14,26,28,51,0.1788931788931789
34677732196,2021-11-25T06:39:00Z,65,19,14,32,69,51,0.16689466484268126
34666344581,2021-11-24T08:07:00Z,60,17,15,28,16,50,0.11809045226130653
34666344580,2021-11-24T03:24:30Z,56,16,12,28,24,50,0.10512129380053908
34652615207,2021-11-23T06:11:00Z,52,16,11,25,15,51,0.21418020679468242
34638691306,2021-11-22T07:54:30Z,69,16,15,38,45,51,0.1585244267198405
